Title,Price,Availability,Rating
A Light in the Attic,51.77,True,3
Tipping the Velvet,53.74,True,1
Soumission,50.1,True,1
Sharp Objects,47.82,True,4
Sapiens: A Brief History of Humankind,54.23,True,5
The Requiem Red,22.65,True,1
The Dirty Little Secrets of Getting Your Dream Job,33.34,True,4
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,True,3
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,True,4
The Black Maria,52.15,True,1
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,True,2
Shakespeare's Sonnets,20.66,True,4
Set Me Free,17.46,True,5
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,True,5
Rip it Up and Start Again,35.02,True,5
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,True,3
Olio,23.88,True,1
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,True,1
Libertarianism for Beginners,51.33,True,2
It's Only the Himalayas,45.17,True,2
In Her Wake,12.84,True,1
How Music Works,37.32,True,2
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,True,3
Chase Me (Paris Nights #2),25.27,True,5
Black Dust,34.53,True,5
Birdsong: A Story in Pictures,54.64,True,3
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.5,True,3
Aladdin and His Wonderful Lamp,53.13,True,3
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,40.3,True,5
Wall and Piece,44.18,True,4
The Four Agreements: A Practical Guide to Personal Freedom,17.66,True,5
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,True,3
The Elephant Tree,23.82,True,5
The Bear and the Piano,36.89,True,1
Sophie's World,15.94,True,5
Penny Maybe,33.29,True,3
Maude (1883-1993):She Grew Up with the country,18.02,True,2
"In a Dark, Dark Wood",19.63,True,1
Behind Closed Doors,52.22,True,4
You can't bury them all: Poems,33.63,True,2
Slow States of Collapse: Poems,57.31,True,3
Reasons to Stay Alive,26.41,True,2
Private Paris (Private #10),47.61,True,5
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,True,5
Without Borders (Wanderlove #1),45.07,True,2
When We Collided,31.77,True,1
"We Love You, Charlie Freeman",50.27,True,5
Untitled Collection: Sabbath Poems 2014,14.27,True,4
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,True,4
Unicorn Tracks,18.78,True,3
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52,True,1
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,True,1
